ConductanceBubbleGraph 
t space sac/bip/ica g 
695 17.5 sac 6.37419e-09
696 17.5 sac 5.76688e-09
697 17.5 sac 5.21744e-09
698 17.5 sac 4.72034e-09
699 17.5 sac 4.27061e-09
700 17.5 sac 3.86372e-09
701 17.5 sac 3.4956e-09
702 17.5 sac 3.16255e-09
703 17.5 sac 2.86124e-09
704 17.5 sac 2.58863e-09
705 17.5 sac 2.342e-09
706 17.5 sac 2.11886e-09
707 17.5 sac 1.91699e-09
708 17.5 sac 1.73434e-09
709 17.5 sac 1.5691e-09
710 17.5 sac 1.4196e-09
711 17.5 sac 1.28435e-09
712 17.5 sac 1.16198e-09
713 17.5 sac 1.05127e-09
714 17.5 sac 9.51113e-10
715 17.5 sac 8.60495e-10
716 17.5 sac 7.7851e-10
717 17.5 sac 7.04337e-10
718 17.5 sac 6.37231e-10
719 17.5 sac 5.76518e-10
720 17.5 sac 5.2159e-10
721 17.5 sac 4.71895e-10
722 17.5 sac 4.26935e-10
723 17.5 sac 3.86258e-10
724 17.5 sac 3.49457e-10
725 17.5 sac 3.16162e-10
726 17.5 sac 2.8604e-10
727 17.5 sac 2.58787e-10
728 17.5 sac 2.34131e-10
729 17.5 sac 2.11824e-10
730 17.5 sac 1.91642e-10
731 17.5 sac 1.73383e-10
732 17.5 sac 1.56864e-10
733 17.5 sac 1.41919e-10
734 17.5 sac 1.28397e-10
735 17.5 sac 1.16164e-10
736 17.5 sac 1.05096e-10
737 17.5 sac 9.50833e-11
738 17.5 sac 8.60241e-11
739 17.5 sac 7.78281e-11
740 17.5 sac 7.0413e-11
741 17.5 sac 6.37043e-11
742 17.5 sac 5.76348e-11
743 17.5 sac 5.21436e-11
744 17.5 sac 4.71756e-11
745 17.5 sac 4.26809e-11
746 17.5 sac 3.86144e-11
747 17.5 sac 3.49354e-11
748 17.5 sac 3.16069e-11
749 17.5 sac 2.85955e-11
750 17.5 sac 2.58711e-11
751 17.5 sac 2.34062e-11
752 17.5 sac 2.11761e-11
753 17.5 sac 1.91586e-11
754 17.5 sac 1.73332e-11
755 17.5 sac 1.56818e-11
756 17.5 sac 1.41877e-11
757 17.5 sac 1.28359e-11
758 17.5 sac 1.1613e-11
759 17.5 sac 1.05065e-11
486 17.5 sac 1.48358
487 17.5 sac 2.43432
488 17.5 sac 2.98381
489 17.5 sac 3.25866
490 17.5 sac 3.34826
491 17.5 sac 3.31552
492 17.5 sac 3.20447
493 17.5 sac 3.04572
494 17.5 sac 2.86041
495 17.5 sac 2.66292
496 17.5 sac 2.4629
497 17.5 sac 2.26667
498 17.5 sac 2.0782
499 17.5 sac 1.89986
500 17.5 sac 1.73293
501 17.5 sac 1.57789
502 17.5 sac 1.43476
503 17.5 sac 1.30322
504 17.5 sac 1.18274
505 17.5 sac 1.0727
506 17.5 sac 0.972384
507 17.5 sac 0.881091
508 17.5 sac 0.798111
509 17.5 sac 0.722762
510 17.5 sac 0.654396
511 17.5 sac 0.592402
512 17.5 sac 0.536214
513 17.5 sac 0.485307
514 17.5 sac 0.439199
515 17.5 sac 0.397447
516 17.5 sac 0.359646
517 17.5 sac 0.325428
518 17.5 sac 0.294456
519 17.5 sac 0.266426
520 17.5 sac 0.24106
521 17.5 sac 0.218105
